schemaname,tablename,indexname,indexdef
public,activity_logs,activity_logs_pkey,CREATE UNIQUE INDEX activity_logs_pkey ON public.activity_logs USING btree (id)
public,admin_assist_requests,admin_assist_requests_pkey,CREATE UNIQUE INDEX admin_assist_requests_pkey ON public.admin_assist_requests USING btree (id)
public,affiliate_user_profiles,affiliate_user_profiles_pkey,CREATE UNIQUE INDEX affiliate_user_profiles_pkey ON public.affiliate_user_profiles USING btree (id)
public,affiliate_user_profiles,idx_affiliate_user_profiles_affiliate,CREATE INDEX idx_affiliate_user_profiles_affiliate ON public.affiliate_user_profiles USING btree (affiliate_id)
public,affiliates,affiliates_contact_email_key,CREATE UNIQUE INDEX affiliates_contact_email_key ON public.affiliates USING btree (contact_email)
public,affiliates,affiliates_pkey,CREATE UNIQUE INDEX affiliates_pkey ON public.affiliates USING btree (id)
public,affiliates,unique_auth_user_id_affiliate,CREATE UNIQUE INDEX unique_auth_user_id_affiliate ON public.affiliates USING btree (auth_user_id)
public,ai_training_logs,ai_training_logs_pkey,CREATE UNIQUE INDEX ai_training_logs_pkey ON public.ai_training_logs USING btree (id)
public,ai_training_logs,ai_training_logs_unique_conflict,"CREATE UNIQUE INDEX ai_training_logs_unique_conflict ON public.ai_training_logs USING btree (client_id, creditor_name, bureau, inquiry_date)"
public,alerts_log,alerts_log_pkey,CREATE UNIQUE INDEX alerts_log_pkey ON public.alerts_log USING btree (id)
public,alerts_log,idx_alerts_client_open,CREATE INDEX idx_alerts_client_open ON public.alerts_log USING btree (client_id) WHERE (cleared_at IS NULL)
public,alerts_log,uniq_alert_per_day_track,"CREATE UNIQUE INDEX uniq_alert_per_day_track ON public.alerts_log USING btree (client_id, alert_type, fired_date_et) WHERE (cleared_at IS NULL)"
public,app_secrets,app_secrets_pkey,CREATE UNIQUE INDEX app_secrets_pkey ON public.app_secrets USING btree (key)
public,call_logs,call_logs_pkey,CREATE UNIQUE INDEX call_logs_pkey ON public.call_logs USING btree (id)
public,call_logs,idx_call_logs_call_date,CREATE INDEX idx_call_logs_call_date ON public.call_logs USING btree (call_date)
public,call_logs,idx_call_logs_client_created,"CREATE INDEX idx_call_logs_client_created ON public.call_logs USING btree (client_id, created_at DESC)"
public,call_logs,idx_call_logs_client_date,"CREATE INDEX idx_call_logs_client_date ON public.call_logs USING btree (client_id, call_date)"
public,call_logs,idx_call_logs_client_id,CREATE INDEX idx_call_logs_client_id ON public.call_logs USING btree (client_id)
public,call_logs,idx_call_logs_employee_id,CREATE INDEX idx_call_logs_employee_id ON public.call_logs USING btree (employee_id)
public,call_metrics,call_metrics_pkey,CREATE UNIQUE INDEX call_metrics_pkey ON public.call_metrics USING btree (id)
public,call_metrics,unique_employee_date,"CREATE UNIQUE INDEX unique_employee_date ON public.call_metrics USING btree (employee_id, log_date)"
public,call_routing,call_routing_pkey,CREATE UNIQUE INDEX call_routing_pkey ON public.call_routing USING btree (id)
public,client_documents,client_documents_pkey,CREATE UNIQUE INDEX client_documents_pkey ON public.client_documents USING btree (id)
public,client_documents,idx_client_documents_client_id,CREATE INDEX idx_client_documents_client_id ON public.client_documents USING btree (client_id)
public,client_ebook_purchases,client_ebook_purchases_client_id_ebook_id_key,"CREATE UNIQUE INDEX client_ebook_purchases_client_id_ebook_id_key ON public.client_ebook_purchases USING btree (client_id, ebook_id)"
public,client_ebook_purchases,client_ebook_purchases_pkey,CREATE UNIQUE INDEX client_ebook_purchases_pkey ON public.client_ebook_purchases USING btree (id)
public,client_ebook_purchases,unique_client_ebook,"CREATE UNIQUE INDEX unique_client_ebook ON public.client_ebook_purchases USING btree (client_id, ebook_id)"
public,client_notifications,client_notifications_pkey,CREATE UNIQUE INDEX client_notifications_pkey ON public.client_notifications USING btree (id)
public,client_portal_documents,client_portal_documents_pkey,CREATE UNIQUE INDEX client_portal_documents_pkey ON public.client_portal_documents USING btree (id)
public,client_reports,client_reports_client_created_idx,"CREATE INDEX client_reports_client_created_idx ON public.client_reports USING btree (client_id, created_at DESC)"
public,client_reports,client_reports_pkey,CREATE UNIQUE INDEX client_reports_pkey ON public.client_reports USING btree (id)
public,client_sensitive,client_sensitive_pkey,CREATE UNIQUE INDEX client_sensitive_pkey ON public.client_sensitive USING btree (client_id)
public,client_sensitive,idx_sensitive_hash,CREATE INDEX idx_sensitive_hash ON public.client_sensitive USING btree (ssn_hash)
public,client_sensitive,idx_sensitive_last4,CREATE INDEX idx_sensitive_last4 ON public.client_sensitive USING btree (ssn_last4)
public,client_service_requests,client_service_requests_pkey,CREATE UNIQUE INDEX client_service_requests_pkey ON public.client_service_requests USING btree (id)
public,client_todos,client_todos_pkey,CREATE UNIQUE INDEX client_todos_pkey ON public.client_todos USING btree (id)
public,clients,clients_pkey,CREATE UNIQUE INDEX clients_pkey ON public.clients USING btree (id)
public,clients,clients_public_token_key,CREATE UNIQUE INDEX clients_public_token_key ON public.clients USING btree (public_token)
public,clients,idx_clients_admin,CREATE INDEX idx_clients_admin ON public.clients USING btree (admin_id)
public,clients,idx_clients_admin_id,CREATE INDEX idx_clients_admin_id ON public.clients USING btree (admin_id)
public,clients,idx_clients_agent_id,CREATE INDEX idx_clients_agent_id ON public.clients USING btree (agent_id)
public,clients,idx_clients_call_done,CREATE INDEX idx_clients_call_done ON public.clients USING btree (call_completed_at)
public,clients,idx_clients_company_id,CREATE INDEX idx_clients_company_id ON public.clients USING btree (company_id)
public,clients,idx_clients_created_at,CREATE INDEX idx_clients_created_at ON public.clients USING btree (created_at)
public,clients,idx_clients_created_at_desc,CREATE INDEX idx_clients_created_at_desc ON public.clients USING btree (created_at DESC)
public,clients,idx_clients_docs_submitted,CREATE INDEX idx_clients_docs_submitted ON public.clients USING btree (tu_eq_docs_submitted_at)
public,clients,idx_clients_followup_done,CREATE INDEX idx_clients_followup_done ON public.clients USING btree (tu_eq_followup_completed_at)
public,clients,idx_clients_full_name,CREATE INDEX idx_clients_full_name ON public.clients USING btree (full_name)
public,clients,idx_clients_paid_uploaded,"CREATE INDEX idx_clients_paid_uploaded ON public.clients USING btree (is_paid, is_uploaded)"
public,clients,idx_clients_progress,CREATE INDEX idx_clients_progress ON public.clients USING btree (progress)
public,clients,idx_clients_stage,CREATE INDEX idx_clients_stage ON public.clients USING btree (status_stage)
public,clients,unique_auth_user_id,CREATE UNIQUE INDEX unique_auth_user_id ON public.clients USING btree (auth_user_id)
public,clients,unique_auth_user_id_client,CREATE UNIQUE INDEX unique_auth_user_id_client ON public.clients USING btree (auth_user_id)
public,comments,comments_pkey,CREATE UNIQUE INDEX comments_pkey ON public.comments USING btree (id)
public,comments,idx_comments_client_id,CREATE INDEX idx_comments_client_id ON public.comments USING btree (client_id)
public,comments,idx_comments_client_parent_time,"CREATE INDEX idx_comments_client_parent_time ON public.comments USING btree (client_id, parent_id, ""timestamp"" DESC)"
public,companies,companies_company_name_key,CREATE UNIQUE INDEX companies_company_name_key ON public.companies USING btree (company_name)
public,companies,companies_pkey,CREATE UNIQUE INDEX companies_pkey ON public.companies USING btree (id)
public,companies,unique_auth_user_id_company,CREATE UNIQUE INDEX unique_auth_user_id_company ON public.companies USING btree (auth_user_id)
public,company_holidays,company_holidays_pkey,CREATE UNIQUE INDEX company_holidays_pkey ON public.company_holidays USING btree (date)
public,company_leads,company_leads_pkey,CREATE UNIQUE INDEX company_leads_pkey ON public.company_leads USING btree (id)
public,company_leads,idx_company_leads_company_id,CREATE INDEX idx_company_leads_company_id ON public.company_leads USING btree (company_id)
public,company_portal_users,company_portal_users_email_key,CREATE UNIQUE INDEX company_portal_users_email_key ON public.company_portal_users USING btree (email)
public,company_portal_users,company_portal_users_pkey,CREATE UNIQUE INDEX company_portal_users_pkey ON public.company_portal_users USING btree (id)
public,company_portal_users,idx_company_portal_users_company_id,CREATE INDEX idx_company_portal_users_company_id ON public.company_portal_users USING btree (company_id)
public,company_quick_reports,company_quick_reports_pkey,CREATE UNIQUE INDEX company_quick_reports_pkey ON public.company_quick_reports USING btree (id)
public,company_quick_reports,idx_company_quick_reports_company_id,CREATE INDEX idx_company_quick_reports_company_id ON public.company_quick_reports USING btree (company_id)
public,company_quick_reports,idx_company_quick_reports_created_at,CREATE INDEX idx_company_quick_reports_created_at ON public.company_quick_reports USING btree (created_at DESC)
public,company_tasks,company_tasks_pkey,CREATE UNIQUE INDEX company_tasks_pkey ON public.company_tasks USING btree (id)
public,company_user_profiles,company_user_profiles_pkey,CREATE UNIQUE INDEX company_user_profiles_pkey ON public.company_user_profiles USING btree (id)
public,counter_clients,counter_clients_pkey,CREATE UNIQUE INDEX counter_clients_pkey ON public.counter_clients USING btree (id)
public,departments,departments_pkey,CREATE UNIQUE INDEX departments_pkey ON public.departments USING btree (id)
public,dispute_followup_queue,dispute_followup_queue_client_id_key,CREATE UNIQUE INDEX dispute_followup_queue_client_id_key ON public.dispute_followup_queue USING btree (client_id)
public,dispute_followup_queue,dispute_followup_queue_pkey,CREATE UNIQUE INDEX dispute_followup_queue_pkey ON public.dispute_followup_queue USING btree (id)
public,dispute_followup_queue,idx_dfq_client,CREATE INDEX idx_dfq_client ON public.dispute_followup_queue USING btree (client_id)
public,dispute_followup_queue,idx_dfq_updated,CREATE INDEX idx_dfq_updated ON public.dispute_followup_queue USING btree (updated_at DESC)
public,dispute_followups,dispute_followups_pkey,CREATE UNIQUE INDEX dispute_followups_pkey ON public.dispute_followups USING btree (id)
public,dispute_followups,idx_df_status_due,"CREATE INDEX idx_df_status_due ON public.dispute_followups USING btree (status, due_date)"
public,dispute_followups,uq_df_client_bureau_due,"CREATE UNIQUE INDEX uq_df_client_bureau_due ON public.dispute_followups USING btree (client_id, bureau, due_date)"
public,docs_reminders,docs_reminders_bureaus_gin,CREATE INDEX docs_reminders_bureaus_gin ON public.docs_reminders USING gin (bureaus)
public,docs_reminders,docs_reminders_client_id_key,CREATE UNIQUE INDEX docs_reminders_client_id_key ON public.docs_reminders USING btree (client_id)
public,docs_reminders,docs_reminders_last_seen_idx,CREATE INDEX docs_reminders_last_seen_idx ON public.docs_reminders USING btree (last_seen DESC)
public,docs_reminders,docs_reminders_pkey,CREATE UNIQUE INDEX docs_reminders_pkey ON public.docs_reminders USING btree (id)
